column,nulls,dataset,null_pct
customer_id,0,customers,0.0
name,0,customers,0.0
email,0,customers,0.0
country,0,customers,0.0
age,0,customers,0.0
signup_date,0,customers,0.0
marketing_opt_in,0,customers,0.0
session_id,0,sessions,0.0
customer_id,0,sessions,0.0
start_time,0,sessions,0.0
device,0,sessions,0.0
source,0,sessions,0.0
country,0,sessions,0.0
event_id,0,events,0.0
session_id,0,events,0.0
timestamp,0,events,0.0
event_type,0,events,0.0
product_id,78489,events,10.31
qty,617832,events,81.19
cart_size,716049,events,94.1
payment,727378,events,95.59
discount_pct,727378,events,95.59
amount_usd,727378,events,95.59
order_id,0,orders,0.0
customer_id,0,orders,0.0
order_time,0,orders,0.0
payment_method,0,orders,0.0
discount_pct,0,orders,0.0
subtotal_usd,0,orders,0.0
total_usd,0,orders,0.0
country,0,orders,0.0
device,0,orders,0.0
source,0,orders,0.0
order_id,0,order_items,0.0
product_id,0,order_items,0.0
unit_price_usd,0,order_items,0.0
quantity,0,order_items,0.0
line_total_usd,0,order_items,0.0
product_id,0,products,0.0
category,0,products,0.0
name,0,products,0.0
price_usd,0,products,0.0
cost_usd,0,products,0.0
margin_usd,0,products,0.0
review_id,0,reviews,0.0
order_id,0,reviews,0.0
product_id,0,reviews,0.0
rating,0,reviews,0.0
review_text,0,reviews,0.0
review_time,0,reviews,0.0
